TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

NAME
"Legacy Noon Rates"

DESCRIPTION
"The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only."

LINK
"http://www.bankofcanada.ca/?p=190915"

SERIES
id,label,description
IEXE2702,"ARS_NOON","Argentine peso (local)"
IEXE2703,"ARS_NOON","Argentine peso"
IEXE1601,"AUD_NOON","Australian dollar"
IEXE6001,"BSD_NOON","Bahamian dollar"
IEXE2801,"BRL_NOON","Brazilian real"
IEXE4501,"XAF_NOON","CFA franc"
IEXE4601,"XPF_NOON","CFP franc"
IEXE2901,"CLP_NOON","Chilean peso"
IEXE2201,"CNY_NOON","Chinese renminbi"
IEXE3901,"COP_NOON","Colombian peso"
IEXE6101,"HRK_NOON","Croatian kuna"
IEXE2301,"CZK_NOON","Czech Republic koruna"
IEXE0301,"DKK_NOON","Danish krone"
IEXE4001,"XCD_NOON","East Caribbean dollar"
EUROCAE01,"EUR_NOON","European Euro"
IEXE4101,"FJD_NOON","Fiji dollar"
IEXE4701,"GHC_NOON","Ghanaian cedi (old)"
IEXE4702,"GHS_NOON","Ghanaian cedi"
IEXE6501,"GTQ_NOON","Guatemalan quetzal"
IEXE4301,"HNL_NOON","Honduran lempira"
IEXE1401,"HKD_NOON","Hong Kong dollar"
IEXE2501,"HUF_NOON","Hungarian forint"
IEXE4401,"ISK_NOON","Icelandic krona"
IEXE3001,"INR_NOON","Indian rupee"
IEXE2601,"IDR_NOON","Indonesian rupiah"
IEXE5301,"ILS_NOON","Israeli new shekel"
IEXE6401,"JMD_NOON","Jamaican dollar"
IEXE0701,"JPY_NOON","Japanese yen"
IEXE3201,"MYR_NOON","Malaysian ringgit"
IEXE2001,"MXN_NOON","Mexican peso"
IEXE4801,"MAD_NOON","Moroccan dirham"
IEXE3801,"MMK_NOON","Myanmar (Burma) kyat (fixed)"
IEXE3802,"MMK_NOON","Myanmar (Burma) kyat"
IEXE4901,"ANG_NOON","Neth. Antilles guilder"
IEXE1901,"NZD_NOON","New Zealand dollar"
IEXE0901,"NOK_NOON","Norwegian krone"
IEXE5001,"PKR_NOON","Pakistan rupee"
IEXE5101,"PAB_NOON","Panamanian balboa"
IEXE5201,"PEN_NOON","Peruvian new sol"
IEXE3301,"PHP_NOON","Philippine peso"
IEXE2401,"PLN_NOON","Polish zloty"
IEXE6505,"RON_NOON","Romanian new leu"
IEXE2101,"RUB_NOON","Russian ruble"
IEXE6504,"RSD_NOON","Serbian dinar"
IEXE3701,"SGD_NOON","Singapore dollar"
IEXE6201,"SKK_NOON","Slovak koruna"
IEXE3401,"ZAR_NOON","South African rand"
IEXE3101,"KRW_NOON","South Korean won"
IEXE5501,"LKR_NOON","Sri Lanka rupee"
IEXE1001,"SEK_NOON","Swedish krona"
IEXE1101,"CHF_NOON","Swiss franc"
IEXE3501,"TWD_NOON","Taiwanese new dollar"
IEXE3601,"THB_NOON","Thai baht"
IEXE5601,"TTD_NOON","Trinidad and Tobago dollar"
IEXE5701,"TND_NOON","Tunisian dinar"
IEXE5802,"TRY_NOON","Turkish lira"
IEXE6506,"AED_NOON","U.A.E. dirham"
IEXE5901,"VEB_NOON","Venezuelan bolivar"
IEXE5902,"VEF_NOON","Venezuelan bolivar fuerte"
IEXE1201,"GBP_NOON","U.K. pound sterling"
IEXE6503,"VND_NOON","Vietnamese dong"
IEXE0101,"USD_NOON","U.S. dollar (noon)"
IEXE0105,"USD_NOON","U.S. dollar noon, 90-day"
IEXE0124,"IEXE0124","US/Canada noon 3-month forward points spread"
IEXE0125,"IEXE0125","US/Canada noon 6-month forward points spread"

OBSERVATIONS
date,IEXE2702,IEXE2703,IEXE1601,IEXE6001,IEXE2801,IEXE4501,IEXE4601,IEXE2901,IEXE2201,IEXE3901,IEXE6101,IEXE2301,IEXE0301,IEXE4001,EUROCAE01,IEXE4101,IEXE4701,IEXE4702,IEXE6501,IEXE4301,IEXE1401,IEXE2501,IEXE4401,IEXE3001,IEXE2601,IEXE5301,IEXE6401,IEXE0701,IEXE3201,IEXE2001,IEXE4801,IEXE3801,IEXE3802,IEXE4901,IEXE1901,IEXE0901,IEXE5001,IEXE5101,IEXE5201,IEXE3301,IEXE2401,IEXE6505,IEXE2101,IEXE6504,IEXE3701,IEXE6201,IEXE3401,IEXE3101,IEXE5501,IEXE1001,IEXE1101,IEXE3501,IEXE3601,IEXE5601,IEXE5701,IEXE5802,IEXE6506,IEXE5901,IEXE5902,IEXE1201,IEXE6503,IEXE0101,IEXE0105,IEXE0124,IEXE0125
2007-05-15,0.3523,,0.9163,1.0977,0.5517,0.002276,0.01251,0.002115,0.1429,0.000548,0.2033,0.05256,0.2004,0.4111,1.4932,0.6827,0.000118,,0.14370,0.05809,0.140471,0.006005,0.01727,0.02703,0.000125,0.2768,0.01610,0.009130,0.3227,0.10170,0.1328,0.1958,,0.6167,0.8108,0.1826,0.01813,1.0977,0.3464,0.02321,0.3945,,0.04256,,0.7247,0.04434,0.1588,0.001188,0.00989,0.16,0.9045,0.03296,0.03287,0.1745,0.8476,0.8244,,0.000511,,2.1801,0.000068,1.0977,1.0947,-0.30,-0.55
2007-05-16,0.3539,,0.9095,1.1029,0.5613,0.002273,0.01250,0.002131,0.1436,0.000556,0.2035,0.05301,0.2001,0.4131,1.4912,0.6835,0.000119,,0.14450,0.05837,0.141062,0.005973,0.01750,0.02717,0.000125,0.2796,0.01618,0.009135,0.3243,0.10220,0.1333,0.1972,,0.6196,0.8083,0.1824,0.01817,1.1029,0.3485,0.02348,0.3925,,0.04273,,0.7245,0.04429,0.1581,0.001194,0.00995,0.16,0.9024,0.03306,0.03297,0.1753,0.8523,0.8302,,0.000514,,2.1810,0.000069,1.1029,1.1000,-0.29,-0.55
2007-05-17,0.3523,,0.9021,1.0977,0.5615,0.002258,0.01241,0.002121,0.1429,0.000553,0.2026,0.05276,0.1987,0.4111,1.4812,0.6803,0.000119,,0.14390,0.05809,0.140359,0.005944,0.01742,0.02704,0.000125,0.2783,0.01610,0.009049,0.3227,0.10160,0.1327,0.1957,,0.6167,0.8018,0.1811,0.01808,1.0977,0.3469,0.02337,0.3907,,0.04253,,0.7191,0.04409,0.1560,0.001188,0.00990,0.16,0.8946,0.03290,0.03282,0.1745,0.8483,0.8263,,0.000511,,2.1676,0.000068,1.0977,1.0948,-0.29,-0.55
2007-05-18,0.3490,,0.8977,1.0884,0.5541,0.002242,0.01232,0.002088,0.1419,0.000548,0.2008,0.05218,0.1973,0.4076,1.4704,0.6713,0.000117,,0.14210,0.05760,0.139198,0.005871,0.01723,0.02695,0.000123,0.2724,0.01596,0.008987,0.3200,0.10050,0.1312,0.1938,,0.6115,0.7955,0.1799,0.01790,1.0884,0.3448,0.02330,0.3879,,0.04216,,0.7133,0.04353,0.1547,0.001165,0.00981,0.16,0.8872,0.03261,0.03301,0.1736,0.8386,0.8211,,0.000507,,2.1501,0.000068,1.0884,1.0856,-0.28,-0.51
2007-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-22,0.3489,,0.8915,1.0855,0.5599,0.002228,0.01225,0.002075,0.1418,0.000555,0.1997,0.05177,0.1961,0.4066,1.4614,0.6679,0.000117,,0.14190,0.05745,0.138753,0.005895,0.01747,0.02704,0.000125,0.2735,0.01594,0.008936,0.3205,0.10080,0.1305,0.1930,,0.6098,0.7896,0.1797,0.01787,1.0855,0.3430,0.02355,0.3861,,0.04195,,0.7081,0.04328,0.1538,0.001167,0.00980,0.16,0.8824,0.03250,0.03308,0.1731,0.8337,0.8200,,0.000506,,2.1458,0.000068,1.0855,1.0827,-0.28,-0.50
2007-05-23,0.3477,,0.8921,1.0818,0.5569,0.002223,0.01222,0.002063,0.1414,0.000552,0.1993,0.05160,0.1957,0.4052,1.4585,0.6635,0.000117,,0.14130,0.05725,0.138284,0.005875,0.01753,0.02685,0.000124,0.2726,0.01588,0.008902,0.3192,0.10040,0.1303,0.1925,,0.6078,0.7908,0.1798,0.01781,1.0818,0.3419,0.02354,0.3855,,0.04185,,0.7075,0.04323,0.1536,0.001161,0.00977,0.16,0.8819,0.03237,0.03305,0.1725,0.8317,0.8171,,0.000504,,2.1506,0.000067,1.0818,1.0790,-0.28,-0.50
2007-05-24,0.3484,,0.8897,1.0841,0.5514,0.002219,0.01220,0.002060,0.1417,0.000552,0.1987,0.05135,0.1954,0.4060,1.4558,0.6662,0.000117,,0.14150,0.05737,0.138569,0.005806,0.01742,0.02681,0.000124,0.2689,0.01591,0.008925,0.3198,0.10010,0.1301,0.1929,,0.6090,0.7861,0.1797,0.01786,1.0841,0.3421,0.02352,0.3810,,0.04184,,0.7090,0.04287,0.1516,0.001164,0.00978,0.16,0.8817,0.03255,0.03307,0.1729,0.8314,0.8099,,0.000505,,2.1520,0.000067,1.0841,1.0813,-0.28,-0.50
2007-05-25,0.3470,,0.8840,1.0796,0.5546,0.002214,0.01217,0.002064,0.1411,0.000558,0.1982,0.05120,0.1949,0.4043,1.4522,0.6608,0.000117,,0.14090,0.05714,0.138011,0.005809,0.01744,0.02680,0.000123,0.2668,0.01584,0.008869,0.3184,0.10020,0.1299,0.1920,,0.6065,0.7841,0.1794,0.01778,1.0796,0.3405,0.02329,0.3812,,0.04170,,0.7064,0.04256,0.1520,0.001163,0.00975,0.16,0.8790,0.03246,0.03312,0.1722,0.8296,0.8125,,0.000503,,2.1422,0.000067,1.0796,1.0768,-0.28,-0.49
2007-05-28,0.3472,,0.8852,1.0801,0.5555,0.002215,0.01218,0.002051,0.1413,0.000558,0.1988,0.05128,0.1950,0.4045,1.4531,0.6616,0.000116,,0.14100,0.05716,0.138120,0.005809,0.01745,0.02673,0.000124,0.2683,0.01585,0.008878,0.3188,0.10020,0.1298,0.1921,,0.6068,0.7846,0.1794,0.01779,1.0801,0.3405,0.02353,0.3820,,0.04172,,0.7066,0.04278,0.1524,0.001163,0.00976,0.16,0.8792,0.03258,0.03121,0.1723,0.8299,0.8161,,0.000503,,2.1420,0.000067,1.0801,1.0773,-0.28,-0.49
